run,rope_length_m,quality_valid,segment,measured_velocity_blend,candidate,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction
L06_VALID,0.6,True,route,0.0,velocity_candidate,55.656,0.12736788522596898,-0.07257506248204063,0.054792822743928354,0.0009844908499340296,0.007033631350181161,0.4984885562113142,0.27404228742264053,0.05981970711017041,6.647889989603393e-05,0.0010929138178921943,0.10051287693175903,0.006276179662175847,0.010619197264829955,0.04677313124976872
L06_VALID,0.6,True,route,0.0,nominal_candidate,55.656,0.13532126771459185,-0.09300465294311061,0.04231661477148124,0.0007603243993725967,0.008427061554716713,0.48999568158917517,0.18533425661697298,0.06931244878640098,6.144520165180932e-05,0.0010507224019565245,0.07051191423479446,0.007134371881878523,0.011321966785896191,0.03928146989519422
L06_VALID,0.6,True,route,0.25,velocity_candidate,55.656,0.12190472988154179,-0.10485644773917652,0.01704828214236527,0.0003063152605714617,0.007792478502659627,0.4678278393551173,0.07518166169907751,0.06590681885402655,8.325878895589367e-05,0.0012230917861088364,0.09733480251980339,0.008611337057706914,0.012438823314859643,0.05367266983805865
L06_VALID,0.6,True,route,0.25,nominal_candidate,55.656,0.12697675313081122,-0.12240467896089309,0.0045720741699181305,8.214881001002822e-05,0.009111919561079453,0.4443644738736145,0.018333659132396252,0.07190914907538387,7.357769627246441e-05,0.0011497862157037475,0.07444955257033975,0.008778816852092135,0.012559200656548678,0.047373985617270735
L06_VALID,0.6,True,route,0.5,velocity_candidate,55.656,0.12009758092017492,-0.14079383937937276,-0.02069625845919784,-0.0003718603287911068,0.008876837591066545,0.43889448682884696,-0.07932901141568786,0.07481764124779762,0.00010691668119235994,0.0013860111992931023,0.09044001267243505,0.014524015241162378,0.01615427057570723,0.07042600755614746
L06_VALID,0.6,True,route,0.5,nominal_candidate,55.656,0.1247762831305354,-0.15794874956218033,-0.033172466431644926,-0.0005960267793525393,0.01009274803449382,0.39858931913055995,-0.11733119673099111,0.07762921577885405,9.258819406972602e-05,0.0012897983334937248,0.0747902314059627,0.014000782610230142,0.015860620032896244,0.06714147360977617
L06_VALID,0.6,True,route,0.75,velocity_candidate,55.656,0.1224484488748337,-0.18088924793559463,-0.058440799060760926,-0.0010500359181536748,0.010183248164585322,0.41888585000719736,-0.19265920350573393,0.08567560545468358,0.0001374525766054327,0.001571521935989661,0.0837211571262145,0.02401421421254225,0.02077199431142725,0.08843361907357704
L06_VALID,0.6,True,route,0.75,nominal_candidate,55.656,0.1270401776716952,-0.19795718470490328,-0.07091700703320808,-0.0012742023687151085,0.011292688822754917,0.3746941125665755,-0.21820794641105826,0.08585059010775503,0.00011847669504359413,0.0014590173966597601,0.07311285564111338,0.02280026915629256,0.02024016235088809,0.09073825281719067
L06_VALID,0.6,True,route,1.0,velocity_candidate,55.656,0.1273824015301772,-0.22356774119250117,-0.09618533966232398,-0.0017282115075162423,0.011637165200532608,0.3925435439758169,-0.2740712367748768,0.09783454684253844,0.000174866475195112,0.0017725450542762713,0.07826783648370077,0.03708193397184651,0.025812210191704082,0.10404541885132008
L06_VALID,0.6,True,route,1.0,nominal_candidate,55.656,0.1313633941013299,-0.2400249417361011,-0.10866154763477118,-0.0019523779580776768,0.012649539595059076,0.3602994098171873,-0.29258201496757813,0.09593232906051762,0.00015124319919406873,0.0016484733573340657,0.07081457327410023,0.035177276490279366,0.02514056947681667,0.11218870759317674
L06_VALID,0.6,True,motion,0.0,velocity_candidate,24.716,0.09858701971376424,-0.03682701719775988,0.06176000251600436,0.002498786313157645,0.009660615384807886,0.5084415584415585,0.4560827217370137,0.07275470045497509,6.0553309393235215e-05,0.001565236073692263,0.1086956620567679,0.0030566610964814687,0.011120762132147261,0.03841912922420305
L06_VALID,0.6,True,motion,0.0,nominal_candidate,24.716,0.11048070755147585,-0.048190196558053844,0.062290510993422005,0.0025202504852493124,0.011549513791640561,0.5318181818181819,0.39257676978019357,0.08661030746058829,3.455946410595249e-05,0.0011824816404438375,0.05456440305959682,0.002815941854365647,0.010673890622667355,0.026933134044407538
