run,rope_length_m,quality_valid,segment,velocity_reference_state_cancellation_ratio,velocity_power_identity_rms_error_w_kg,velocity_error_power_rms_w_kg
L06_VALID,0.6,True,route,0.9333056970718548,3.880945621772966e-09,0.007033322744152823
L06_VALID,0.6,True,motion,0.9538370890565486,5.8237732802266e-09,0.009660195495156728
L06_VALID,0.6,True,motion_acceleration,0.9130617028603842,6.060966491757428e-09,0.013160513025076509
L06_VALID,0.6,True,motion_cruise,0.9759477607021866,6.163832831590539e-09,0.005077583755103639
L06_VALID,0.6,True,motion_deceleration,0.846815711559531,3.716185361116584e-09,0.017198538078032174
L06_VALID,0.6,True,hover,0.0,0.0,0.0037179854761842574
L06_VALID,0.6,True,terminal_10s,0.0,0.0,0.003960110353952097
L08_VALID,0.8,True,route,0.9376857566363301,4.250751924269554e-09,0.0071551438087444404
L08_VALID,0.8,True,motion,0.9532683012848094,6.374009828179314e-09,0.010024038164857318
L08_VALID,0.8,True,motion_acceleration,0.9157620314313439,6.178710919628489e-09,0.014399037731166214
L08_VALID,0.8,True,motion_cruise,0.9737136611059273,6.769421700377943e-09,0.005784411812333825
L08_VALID,0.8,True,motion_deceleration,0.8693702399629384,4.626279902807124e-09,0.01655825079147518
L08_VALID,0.8,True,hover,0.0,0.0,0.003174430254123035
L08_VALID,0.8,True,terminal_10s,0.0,0.0,0.0038829443394862045
L08_VERTICAL_INVALID,0.8,False,route,0.9395256927146662,4.122434614949243e-09,0.007324691315781604
L08_VERTICAL_INVALID,0.8,False,motion,0.9563985182431277,6.190231285770645e-09,0.010099438180196993
L08_VERTICAL_INVALID,0.8,False,motion_acceleration,0.9270340808141133,6.38787363986693e-09,0.011736036053156746
L08_VERTICAL_INVALID,0.8,False,motion_cruise,0.977296548621283,6.373008881961217e-09,0.005529315821566014
L08_VERTICAL_INVALID,0.8,False,motion_deceleration,0.8674853942426564,5.132153884801052e-09,0.01905292071129286
L08_VERTICAL_INVALID,0.8,False,hover,0.0,0.0,0.003918597872416044
L08_VERTICAL_INVALID,0.8,False,terminal_10s,0.0,0.0,0.003826638530587028
