run,rope_length_m,quality_valid,action,component,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction
L06_VALID,0.6,True,action_01_hold,nominal_total,5.18,0.0015583434058344192,-0.001052055668457796,0.0005062877373766233,9.773894543950257e-05,0.0007003756765270169,0.5687789799072643,0.193950320609081,0.03608780422092705,2.8028518357736087e-07,0.00023261364706035268,0.20666818625219144,0.0004921761540073826,0.009747548489021573,0.17251695047795698
L06_VALID,0.6,True,action_01_hold,position_feedback,5.18,0.0006271951632165822,-0.0006123144770972427,1.4880686119339505e-05,2.8727193280578196e-06,0.00033085705047116993,0.5363214837712519,0.01200530083458806,0.018086968082608172,2.951866522572122e-07,0.000238717071455091,0.39159371305926727,5.480263189113915e-05,0.003252638723597055,0.08776490022974699
L06_VALID,0.6,True,action_01_hold,velocity_error_combined,5.18,0.0014983741633074036,-0.0010069671196160923,0.0004914070436913113,9.48662246508323e-05,0.0006626989953118999,0.47295208655332305,0.19614375376351356,0.03332473540504566,2.7924541302852346e-07,0.0002321817841552979,0.15199779259900986,0.0003403095878932732,0.008105358205509984,0.0978456106781617
L06_VALID,0.6,True,action_01_hold,velocity_reference,5.18,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan
L06_VALID,0.6,True,action_01_hold,velocity_state_feedback,5.18,0.0014983741633074036,-0.0010069671196160923,0.0004914070436913113,9.48662246508323e-05,0.0006626989953118999,0.47295208655332305,0.19614375376351356,0.03332473540504566,2.7924541302852346e-07,0.0002321817841552979,0.15199779259900986,0.0003403095878932732,0.008105358205509984,0.0978456106781617
L06_VALID,0.6,True,action_01_hold,velocity_tracking_actual,5.18,0.0017555922641823093,-0.002284849974511654,-0.0005292577103293446,-0.00010217330315238313,0.001099282399175304,0.3894899536321484,-0.1309900449165739,0.05936245875290672,1.7894301311676135e-06,0.0005877498041443655,0.252968480000223,0.0007467737975931966,0.012006865777137362,0.06348621400759782
L06_VALID,0.6,True,action_01_hold,velocity_observer_estimation,5.18,0.0017649782629502945,-0.000744313326133432,0.0010206649368168625,0.0001970395630920584,0.000625772085879287,0.5301391035548686,0.4067542175078826,0.038139902678178864,7.001371659299048e-07,0.0003676433258531741,0.3164597926838564,0.0004344366366367394,0.00915795154883444,0.11826249934560645
L06_VALID,0.6,True,action_01_hold,z3_disturbance,5.18,0.0005516375213383054,-0.00045693876429368134,9.469875704462409e-05,1.828161332907801e-05,0.0002503989768592146,0.5332302936630603,0.09389349957329667,0.01625266878291328,1.2741682187679043e-07,0.0001568369920049363,0.4031459998354608,7.212559741434833e-05,0.0037314689473048617,0.18973141682713646
L06_VALID,0.6,True,action_02_north,nominal_total,6.1640000000000015,0.028880667297670772,-0.01040986765265192,0.018470799645018854,0.002996560617297023,0.011214294009589147,0.6530880420499343,0.4701081231999656,0.08162545406276212,9.690000911467887e-06,0.0012538067221363701,0.07652344772097562,0.0008203747968765292,0.011536520439070792,0.03492837927283744
L06_VALID,0.6,True,action_02_north,position_feedback,6.1640000000000015,0.007491693711880774,-0.007633055950088183,-0.00014136223820740944,-2.293352339510211e-05,0.003496457046888413,0.5295663600525624,-0.009346418378273293,0.03733790268597401,2.3820920933399058e-05,0.0019658390545557024,0.4041969785620293,0.00011454804848410311,0.004310846236698845,0.024501695898554617
L06_VALID,0.6,True,action_02_north,velocity_error_combined,6.1640000000000015,0.026945332607618267,-0.008333172274198709,0.01861216033341956,0.003019493889263393,0.010700048404482928,0.5703022339027596,0.5275779230375639,0.07167654553041637,4.7731993182062785e-06,0.0008799813539819935,0.055595019549446734,0.000765992351979277,0.011147587802696663,0.043401366274097755
L06_VALID,0.6,True,action_02_north,velocity_reference,6.1640000000000015,0.20288103957520787,-0.18695011158913974,0.015930927986068127,0.002584511354001967,0.08118161554399345,0.46780551905387646,0.040866226155825754,0.7090694535059016,0.020215005754224136,0.05726715651362841,0.5683034806253051,0.000350468379128861,0.007540377780209506,0.005464829721229582
L06_VALID,0.6,True,action_02_north,velocity_state_feedback,6.1640000000000015,0.2029204714211882,-0.20023923970333263,0.002681231717855559,0.00043498243313685244,0.08150861572297624,0.4967148488830486,0.00665054479371682,0.7146221314624073,0.020773932856694294,0.0580534516962082,0.5664760283198498,0.0018715461303117657,0.017424846182656953,0.022382170812865664
