run,rope_length_m,quality_valid,segment,component,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction,swing_energy_start_mean_j_kg,swing_energy_end_mean_j_kg,swing_energy_delta_sum_j_kg,swing_energy_peak_j_kg,swing_energy_rms_j_kg
L06_VALID,0.6,True,route,nominal_total,55.656,0.13531329422272675,-0.0930018261517353,0.042311468070991454,0.0007602319259557182,0.00842689114546344,0.48999568158917517,0.1853204816290571,0.06931241088309882,6.14481067455307e-05,0.0010507472404377412,0.07051708957024791,0.00713441043702068,0.011321997378599824,0.03928174758092598,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,position_feedback,55.656,0.05473689049320077,-0.0672130984656479,-0.012476207972447126,-0.0002241664505614332,0.00417334940403604,0.5385058298546135,-0.10230593769596119,0.0351923539302847,0.00014039737470510706,0.0015882669481354097,0.31193803072095205,0.000866863003278581,0.003946564807932895,0.025164052492167854,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,velocity_error_combined,55.656,0.1273599932171543,-0.07257232391732422,0.054787669299830075,0.0009843982553512662,0.007033322744152823,0.4984885562113142,0.27403108254369296,0.059819649194651485,6.647889293923737e-05,0.0010929137607072884,0.10051576857361973,0.006276194963975792,0.01061921021002447,0.04677332064325999,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,velocity_reference,55.656,0.7472732446726298,-0.6995663815488515,0.047706863123778254,0.000857173766058974,0.05206795752843359,0.20656398445372104,0.03297315214428286,0.4724237793747786,0.06791263213055855,0.03493166498160673,0.5063109336676139,0.0014258458011284579,0.005061512169231447,0.005481533687022159,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,velocity_state_feedback,55.656,0.7789916202145519,-0.7719108148293948,0.007080805385157096,0.0001272244750818797,0.05238789441496088,0.49661724485389375,0.004565603370760361,0.48141447308214674,0.07144544984784672,0.03582871994326434,0.5045240344937851,0.009678297801921205,0.013186923763709455,0.022784318983942738,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,acceleration_damping,55.656,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,z3_disturbance,55.656,0.05607615171457316,-0.053342721579131475,0.0027334301354416876,4.9112946231164434e-05,0.0032632380054000184,0.526846120627609,0.02498134054172311,0.03428924366761259,0.00015815766114211615,0.001685734293050082,0.4088338078930645,0.0015355377929152942,0.005252599158306281,0.054133548116971436,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,velocity_tracking_actual,55.656,0.1273824015301772,-0.22356774119250117,-0.09618533966232398,-0.0017282115075162423,0.011637165200532608,0.3925435439758169,-0.2740712367748768,0.09783454684253844,0.000174866475195112,0.0017725450542762713,0.07826783648370077,0.03708193397184651,0.025812210191704082,0.10404541885132008,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,route,velocity_observer_estimation,55.656,0.1893018855653182,-0.03832372315906586,0.15097816240625234,0.002712702357450272,0.007389058483784536,0.6758312940837772,0.6632740632845983,0.06252418781340746,5.502402541285206e-05,0.0009943062844487652,0.05178867056092855,0.028620166303395204,0.02267671183676166,0.18317339095073992,0.017841349527265668,0.01523556818978654,-0.023452032037312165,0.056458182632923126,0.012928536880738445
L06_VALID,0.6,True,motion,nominal_total,24.716,0.11047274107940039,-0.04818972620341211,0.06228301487598828,0.0025199471951767387,0.011549277353393414,0.5318181818181819,0.39255039923821505,0.0866102391659792,3.455898003890217e-05,0.0011824733590306423,0.054564617146642465,0.0028159803802862817,0.010673963639099822,0.026933580431529353,0.001318132010055706,0.03261996852234006,0.1252073460491374,0.050978463143110275,0.017014124659065277
