mode,attempt,window,direction,component,positive_integral,negative_integral,net_integral,mean_power,acceleration_band_055_075_energy,note
STD_L06_FULL_W05,1,east_move,east,tracking,0.02055076281651036,-0.02370941944797221,-0.0031586566314618456,-0.000512366734323486,0.0,
STD_L06_FULL_W05,1,east_move,east,observer_error,0.01219201449437786,-0.0016377402085436122,0.01055427428583425,0.0016996188337901964,0.0,
STD_L06_FULL_W05,1,east_move,east,velocity_total,0.021806906752353653,-0.01441128887945514,0.007395617872898515,0.0011872521396842372,0.0,
STD_L06_FULL_W05,1,east_move,east,nominal,0.024418492793294472,-0.01728208315116343,0.0071364096421310495,0.0011544478647262154,0.0,
STD_L06_FULL_W05,1,east_move,east,z3,0.009148424271996188,-0.0073173907539317,0.0018310335180644895,0.00030645109763790396,0.0,
STD_L06_FULL_W05,1,east_move,east,as,0.0,-0.06416041152875362,-0.06416041152875362,-0.01032632467344862,0.0,
STD_L06_FULL_W05,1,east_move,east,pas,1.941734750289155e-06,-0.01307139840387388,-0.01306945666912359,-0.0021107003664605313,0.0,
STD_L06_FULL_W05,1,east_move,east,final,0.07297718152039795,-0.0826598300512486,-0.009682648530850654,-0.0015155678620188129,0.0,
STD_L06_FULL_W05,1,east_accel,east,position,0.0025312882649086376,-0.00024615991461904513,0.002285128350289593,0.0022747662100199603,,
STD_L06_FULL_W05,1,east_accel,east,tracking,0.005670098121627143,-0.006392884546526941,-0.0007227864248997963,-0.0006960188724521671,,
STD_L06_FULL_W05,1,east_accel,east,observer_error,0.003508201901117,-0.0006210698636423318,0.002887132037474668,0.0028678292992481147,,
STD_L06_FULL_W05,1,east_accel,east,velocity_total,0.005844947788907946,-0.0036806023010066092,0.0021643454879013376,0.002171810312120215,,
STD_L06_FULL_W05,1,east_accel,east,nominal,0.008331749843418843,-0.0038822760236797422,0.004449473819739102,0.004446576505162941,,
STD_L06_FULL_W05,1,east_accel,east,z3,0.004485962584352833,-0.00043528862028324115,0.004050673964069592,0.004028501755119433,,
STD_L06_FULL_W05,1,east_accel,east,as,0.0,-0.01967050170980022,-0.01967050170980022,-0.019534376040033812,,
STD_L06_FULL_W05,1,east_accel,east,pas,0.0,-0.0059610980935394875,-0.0059610980935394875,-0.005938667332797888,,
STD_L06_FULL_W05,1,east_accel,east,final,0.035884851283626625,-0.02748738469654185,0.008397466587084788,0.008379473951677822,,
STD_L06_FULL_W05,1,east_cruise,east,position,0.0014026487738437814,-0.00530605151897962,-0.0039034027451358387,-0.0009073342241007037,,
STD_L06_FULL_W05,1,east_cruise,east,tracking,0.004473916968625371,-0.013684844577859621,-0.009210927609234249,-0.0021789725971804296,,
STD_L06_FULL_W05,1,east_cruise,east,observer_error,0.006911365766065497,-0.0003519330826038623,0.006559432683461634,0.0015555379226973765,,
STD_L06_FULL_W05,1,east_cruise,east,velocity_total,0.005734283299207119,-0.008385778113923156,-0.0026514948147160363,-0.0006234346387706329,,
